Scenario,Heuristic,Depth,Expanded nodes,Fringe size
"[1, 5, 4, 0, 6, 2, 7, 3, 8]",h1,11,62,169
"[1, 5, 4, 0, 6, 2, 7, 3, 8]",h2,11,88,242
"[1, 5, 4, 0, 6, 2, 7, 3, 8]",h3,11,110,305
"[1, 5, 4, 0, 6, 2, 7, 3, 8]",h4,11,132,368
"[3, 1, 2, 6, 4, 5, 7, 0, 8]",h1,3,3,8
"[3, 1, 2, 6, 4, 5, 7, 0, 8]",h2,3,6,16
"[3, 1, 2, 6, 4, 5, 7, 0, 8]",h3,3,9,24
"[3, 1, 2, 6, 4, 5, 7, 0, 8]",h4,3,12,32
"[4, 2, 5, 1, 3, 8, 6, 0, 7]",h1,9,25,69
"[4, 2, 5, 1, 3, 8, 6, 0, 7]",h2,9,34,94
"[4, 2, 5, 1, 3, 8, 6, 0, 7]",h3,9,43,119
"[4, 2, 5, 1, 3, 8, 6, 0, 7]",h4,9,52,144
"[1, 0, 2, 3, 4, 5, 6, 7, 8]",h1,1,1,3
"[1, 0, 2, 3, 4, 5, 6, 7, 8]",h2,1,2,6
"[1, 0, 2, 3, 4, 5, 6, 7, 8]",h3,1,3,9
"[1, 0, 2, 3, 4, 5, 6, 7, 8]",h4,1,4,12
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h1,7,17,49
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h2,7,29,83
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h3,7,41,117
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h4,7,53,151
"[1, 7, 2, 3, 8, 5, 6, 0, 4]",h1,11,82,228
"[1, 7, 2, 3, 8, 5, 6, 0, 4]",h2,11,123,338
"[1, 7, 2, 3, 8, 5, 6, 0, 4]",h3,11,164,448
"[1, 7, 2, 3, 8, 5, 6, 0, 4]",h4,11,208,567
"[1, 2, 5, 6, 3, 4, 7, 0, 8]",h1,7,8,22
"[1, 2, 5, 6, 3, 4, 7, 0, 8]",h2,7,15,42
"[1, 2, 5, 6, 3, 4, 7, 0, 8]",h3,7,22,62
"[1, 2, 5, 6, 3, 4, 7, 0, 8]",h4,7,29,82
"[3, 1, 5, 6, 2, 7, 8, 0, 4]",h1,13,145,391
"[3, 1, 5, 6, 2, 7, 8, 0, 4]",h2,13,207,560
"[3, 1, 5, 6, 2, 7, 8, 0, 4]",h3,13,265,719
"[3, 1, 5, 6, 2, 7, 8, 0, 4]",h4,13,332,904
"[4, 0, 3, 5, 2, 1, 6, 7, 8]",h1,11,77,211
"[4, 0, 3, 5, 2, 1, 6, 7, 8]",h2,11,104,286
"[4, 0, 3, 5, 2, 1, 6, 7, 8]",h3,11,130,358
"[4, 0, 3, 5, 2, 1, 6, 7, 8]",h4,11,162,447
"[4, 0, 2, 1, 3, 8, 6, 5, 7]",h1,9,27,76
"[4, 0, 2, 1, 3, 8, 6, 5, 7]",h2,9,39,112
"[4, 0, 2, 1, 3, 8, 6, 5, 7]",h3,9,50,144
"[4, 0, 2, 1, 3, 8, 6, 5, 7]",h4,9,61,176
"[1, 2, 5, 3, 8, 7, 6, 0, 4]",h1,9,30,82
"[1, 2, 5, 3, 8, 7, 6, 0, 4]",h2,9,50,137
"[1, 2, 5, 3, 8, 7, 6, 0, 4]",h3,9,70,192
"[1, 2, 5, 3, 8, 7, 6, 0, 4]",h4,9,90,247
"[4, 3, 2, 1, 7, 5, 6, 0, 8]",h1,7,18,50
"[4, 3, 2, 1, 7, 5, 6, 0, 8]",h2,7,30,87
"[4, 3, 2, 1, 7, 5, 6, 0, 8]",h3,7,42,124
"[4, 3, 2, 1, 7, 5, 6, 0, 8]",h4,7,54,161
"[6, 1, 4, 0, 3, 2, 7, 8, 5]",h1,11,61,167
"[6, 1, 4, 0, 3, 2, 7, 8, 5]",h2,11,87,235
"[6, 1, 4, 0, 3, 2, 7, 8, 5]",h3,11,113,303
"[6, 1, 4, 0, 3, 2, 7, 8, 5]",h4,11,143,385
"[3, 1, 2, 7, 6, 0, 4, 8, 5]",h1,9,29,78
"[3, 1, 2, 7, 6, 0, 4, 8, 5]",h2,9,45,123
"[3, 1, 2, 7, 6, 0, 4, 8, 5]",h3,9,61,168
"[3, 1, 2, 7, 6, 0, 4, 8, 5]",h4,9,77,213
"[4, 3, 2, 0, 1, 5, 6, 7, 8]",h1,5,9,26
"[4, 3, 2, 0, 1, 5, 6, 7, 8]",h2,5,14,41
"[4, 3, 2, 0, 1, 5, 6, 7, 8]",h3,5,19,56
"[4, 3, 2, 0, 1, 5, 6, 7, 8]",h4,5,24,71
"[3, 1, 2, 4, 7, 5, 6, 0, 8]",h1,3,3,10
"[3, 1, 2, 4, 7, 5, 6, 0, 8]",h2,3,6,20
"[3, 1, 2, 4, 7, 5, 6, 0, 8]",h3,3,9,30
"[3, 1, 2, 4, 7, 5, 6, 0, 8]",h4,3,12,40
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h1,7,17,49
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h2,7,29,83
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h3,7,41,117
"[1, 0, 2, 7, 4, 5, 3, 6, 8]",h4,7,53,151
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h1,11,90,241
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h2,11,133,358
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h3,11,174,470
"[5, 4, 1, 0, 3, 2, 6, 7, 8]",h4,11,219,593
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h1,13,164,454
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h2,13,215,594
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h3,13,258,712
"[4, 2, 5, 6, 1, 0, 7, 8, 3]",h4,13,317,876
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h1,11,74,208
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h2,11,111,305
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h3,11,145,396
"[3, 2, 5, 0, 1, 8, 6, 7, 4]",h4,11,181,492
